emp_length,state,homeownership,annual_income,debt_to_income,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,total_collection_amount_ever,accounts_opened_24m,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,public_record_bankrupt,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,credit_line_utilization,credit_utilization,num_accounts_past_due,cc_utilization,delinquent_history,credit_duration,has_credit_inquiries_last_12m,has_collection_accounts,has_accounts_opened_24m,has_bankrupt_history,has_past_due_accounts,debt_limit_exceded,is_bad_loan,is_homeowner
3.0,NJ,MORTGAGE,90000.0,18.01,0,2001,6,28,10,70795,38767,1250,5,10,0.0,0,2,11100,14,8,6,1,92.9,0,28000,60,14.07,652.53,Current,27015.86,1999.33,35.71,54.76,0.0,57.14,True,20,True,True,True,False,False,True,0,True
10.0,HI,RENT,40000.0,5.04,0,1996,1,30,14,28800,4321,0,11,14,0.0,0,3,16500,24,14,4,0,100.0,1,5000,36,12.61,167.54,Current,4651.37,499.12,46.67,15.0,0.0,58.33,True,25,True,False,True,True,False,False,0,False
3.0,WI,RENT,40000.0,21.15,0,2006,4,31,10,24193,16000,432,13,10,0.0,0,3,4300,14,8,6,0,93.5,0,2000,36,17.09,71.4,Current,1824.63,281.8,32.26,66.13,0.0,57.14,True,15,True,True,True,False,False,False,0,False
1.0,PA,RENT,30000.0,10.16,0,2007,0,4,4,25400,4997,0,1,4,0.0,0,2,19400,3,3,2,0,100.0,0,21600,36,6.72,664.19,Current,18853.26,3312.89,100.0,19.67,0.0,100.0,True,14,False,False,True,False,False,True,0,False
10.0,CA,RENT,35000.0,57.96,0,2008,7,22,16,69839,52722,0,6,16,0.0,0,10,32700,20,15,13,0,100.0,0,23000,36,14.07,786.87,Current,21430.15,2324.65,72.73,75.49,0.0,75.0,True,13,True,False,True,False,False,False,0,False
10.0,MI,MORTGAGE,35000.0,23.66,0,2004,1,12,10,291852,18916,0,1,10,0.0,0,3,9100,8,7,6,2,100.0,0,24000,60,13.59,553.35,Current,22560.0,2730.51,83.33,6.48,0.0,87.5,True,17,True,False,True,False,False,True,0,True
10.0,AZ,MORTGAGE,110000.0,16.19,1,2005,1,30,15,342336,60805,0,4,15,,0,5,22250,16,12,10,7,93.0,0,20000,60,11.99,444.79,Current,19005.39,1765.84,50.0,17.76,,75.0,False,16,True,False,True,False,False,False,0,True
10.0,NV,MORTGAGE,65000.0,36.48,1,1998,3,35,21,283190,69561,0,10,21,0.0,0,11,36700,19,14,14,2,97.1,0,20000,36,13.59,679.58,Current,18156.66,2703.22,60.0,24.56,0.0,73.68,False,23,True,False,True,False,False,False,0,True
3.0,IL,RENT,30000.0,18.91,0,2001,0,9,6,33114,17768,0,5,6,0.0,0,3,14700,7,5,3,0,100.0,0,6400,36,6.71,196.77,Current,6077.13,391.15,66.67,53.66,0.0,71.43,True,20,False,False,True,False,False,False,0,False
10.0,IL,MORTGAGE,75000.0,10.45,0,1996,4,22,10,39433,22895,0,6,10,0.0,0,2,5000,16,8,5,2,94.1,1,25000,60,15.04,595.28,Current,24143.51,1764.95,45.45,58.06,0.0,50.0,True,25,True,False,True,True,False,True,0,True
